package,version,license,license_source,direct_dependency,dev_dependency,resolved,package_path,license_file
@rollup/rollup-android-arm64,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-android-arm64/-/rollup-android-arm64-4.57.1.tgz,node_modules/@rollup/rollup-android-arm64,
@rollup/rollup-darwin-arm64,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-darwin-arm64/-/rollup-darwin-arm64-4.57.1.tgz,node_modules/@rollup/rollup-darwin-arm64,
@rollup/rollup-darwin-x64,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-darwin-x64/-/rollup-darwin-x64-4.57.1.tgz,node_modules/@rollup/rollup-darwin-x64,
@rollup/rollup-freebsd-arm64,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-freebsd-arm64/-/rollup-freebsd-arm64-4.57.1.tgz,node_modules/@rollup/rollup-freebsd-arm64,
@rollup/rollup-freebsd-x64,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-freebsd-x64/-/rollup-freebsd-x64-4.57.1.tgz,node_modules/@rollup/rollup-freebsd-x64,
@rollup/rollup-linux-arm-gnueabihf,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-linux-arm-gnueabihf/-/rollup-linux-arm-gnueabihf-4.57.1.tgz,node_modules/@rollup/rollup-linux-arm-gnueabihf,
@rollup/rollup-linux-arm-musleabihf,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-linux-arm-musleabihf/-/rollup-linux-arm-musleabihf-4.57.1.tgz,node_modules/@rollup/rollup-linux-arm-musleabihf,
@rollup/rollup-linux-arm64-gnu,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-linux-arm64-gnu/-/rollup-linux-arm64-gnu-4.57.1.tgz,node_modules/@rollup/rollup-linux-arm64-gnu,
@rollup/rollup-linux-arm64-musl,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-linux-arm64-musl/-/rollup-linux-arm64-musl-4.57.1.tgz,node_modules/@rollup/rollup-linux-arm64-musl,
@rollup/rollup-linux-loong64-gnu,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-linux-loong64-gnu/-/rollup-linux-loong64-gnu-4.57.1.tgz,node_modules/@rollup/rollup-linux-loong64-gnu,
@rollup/rollup-linux-loong64-musl,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-linux-loong64-musl/-/rollup-linux-loong64-musl-4.57.1.tgz,node_modules/@rollup/rollup-linux-loong64-musl,
@rollup/rollup-linux-ppc64-gnu,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-linux-ppc64-gnu/-/rollup-linux-ppc64-gnu-4.57.1.tgz,node_modules/@rollup/rollup-linux-ppc64-gnu,
@rollup/rollup-linux-ppc64-musl,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-linux-ppc64-musl/-/rollup-linux-ppc64-musl-4.57.1.tgz,node_modules/@rollup/rollup-linux-ppc64-musl,
@rollup/rollup-linux-riscv64-gnu,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-linux-riscv64-gnu/-/rollup-linux-riscv64-gnu-4.57.1.tgz,node_modules/@rollup/rollup-linux-riscv64-gnu,
@rollup/rollup-linux-riscv64-musl,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-linux-riscv64-musl/-/rollup-linux-riscv64-musl-4.57.1.tgz,node_modules/@rollup/rollup-linux-riscv64-musl,
@rollup/rollup-linux-s390x-gnu,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-linux-s390x-gnu/-/rollup-linux-s390x-gnu-4.57.1.tgz,node_modules/@rollup/rollup-linux-s390x-gnu,
@rollup/rollup-linux-x64-gnu,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-linux-x64-gnu/-/rollup-linux-x64-gnu-4.57.1.tgz,node_modules/@rollup/rollup-linux-x64-gnu,
